month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
1,31,0,152.0,203.0,52.0,56.0,12.0,1.0,-1.3,10.147,-3.5,0.0,1.6
1,31,1,333.0,415.0,84.0,52.0,9.0,1.0,-0.9,10.149,-3.8,0.0,1.2
1,31,2,289.0,360.0,69.0,50.0,14.0,1.0,-0.9,10.148,-4.4,0.0,1.3
1,31,3,226.0,276.0,62.0,51.0,16.0,2.0,-1.1,10.142999999999999,-4.3,0.0,2.0
1,31,4,151.0,182.0,75.0,54.0,19.0,5.0,-1.1,10.141,-4.6,0.0,1.3
1,31,5,122.0,148.0,80.0,54.0,18.0,6.0,-1.1,10.14,-4.6,0.0,1.2
1,31,6,117.0,140.0,76.0,58.0,17.0,3.0,-1.2,10.142000000000001,-5.6,0.0,1.7
1,31,7,93.0,118.0,72.0,59.0,14.0,3.0,-1.2,10.146,-5.2,0.0,1.1
1,31,8,101.0,129.0,70.0,53.0,13.0,8.0,-0.5,10.142999999999999,-4.9,0.0,1.4
1,31,9,98.0,131.0,80.0,53.0,14.0,10.0,0.5,10.142000000000001,-4.7,0.0,1.8
1,31,10,73.0,94.0,70.0,40.0,11.0,25.0,1.2,10.144,-4.5,0.0,2.3
1,31,11,61.0,82.0,67.0,31.0,10.0,36.0,2.0,10.137,-4.3,0.0,1.7
1,31,12,59.0,76.0,68.0,31.0,9.0,38.0,2.6,10.13,-4.0,0.0,2.1
1,31,13,55.0,78.0,68.0,32.0,9.0,41.0,3.2,10.119,-3.8,0.0,1.1
1,31,14,83.0,103.0,63.0,29.0,10.0,44.0,3.6,10.117,-3.7,0.0,1.6
1,31,15,96.0,115.0,63.0,37.0,11.0,40.0,3.1,10.117,-2.8,0.0,2.0
1,31,16,119.0,165.0,66.0,42.0,12.0,32.0,2.8,10.119,-2.5,0.0,1.8
1,31,17,129.0,148.0,62.0,41.0,12.0,33.0,2.6,10.123,-1.9,0.0,1.0
1,31,18,130.0,148.0,61.0,47.0,12.0,23.0,2.9,10.129,-1.8,0.0,1.6
1,31,19,134.0,151.0,61.0,63.0,13.0,4.0,2.9,10.135,-1.7,0.0,0.9
1,31,20,131.0,147.0,63.0,67.0,15.0,1.0,2.7,10.136000000000001,-1.7,0.0,0.9
1,31,21,137.0,161.0,64.0,66.0,16.0,1.0,2.5,10.134,-4.3,0.0,1.4
1,31,22,140.0,165.0,60.0,65.0,17.0,1.0,2.1,10.136000000000001,-4.6,0.0,1.3
1,31,23,142.0,157.0,56.0,57.0,16.0,3.0,2.3,10.135,-2.8,0.0,1.0
