month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
1,9,0,103.0,60.0,53.0,68.0,15.0,1.0,-3.4,10.274000000000001,-21.1,0.0,2.2
1,9,1,84.0,73.0,59.0,71.0,15.0,1.0,-3.3,10.273,-23.7,0.0,4.1
1,9,2,87.0,78.0,30.0,48.0,12.0,9.0,-3.7,10.277000000000001,-24.0,0.0,3.0
1,9,3,58.0,15.0,12.0,8.0,4.0,40.0,-4.3,10.273,-24.5,0.0,3.1
1,9,4,13.0,19.0,7.0,8.0,4.0,24.0,-4.6,10.270999999999999,-24.2,0.0,2.0
1,9,5,9.0,15.0,6.0,15.0,4.0,37.0,-5.6,10.270999999999999,-24.5,0.0,1.7
1,9,6,10.0,16.0,6.0,23.0,5.0,31.0,-5.7,10.273,-24.1,0.0,1.3
1,9,7,16.0,20.0,15.0,32.0,6.0,21.0,-6.7,10.279000000000002,-23.5,0.0,1.0
1,9,8,16.0,25.0,29.0,49.0,7.0,7.0,-5.3,10.285,-23.2,0.0,1.4
1,9,9,18.0,34.0,35.0,45.0,8.0,11.0,-2.2,10.282,-24.0,0.0,1.9
1,9,10,21.0,37.0,31.0,37.0,9.0,22.0,-1.3,10.274000000000001,-24.7,0.0,1.6
1,9,11,21.0,30.0,27.0,30.0,8.0,29.0,-0.9,10.259,-26.0,0.0,1.6
1,9,12,13.0,6.0,11.0,15.0,5.0,46.0,0.8,10.244000000000002,-25.5,0.0,1.7
1,9,13,13.0,6.0,8.0,7.0,5.0,54.0,1.2,10.231,-25.2,0.0,2.6
1,9,14,21.0,6.0,5.0,4.0,4.0,57.0,0.4,10.23,-21.2,0.0,2.6
1,9,15,11.0,6.0,7.0,7.0,5.0,55.0,-0.2,10.23,-20.5,0.0,2.5
1,9,16,18.0,42.0,12.0,21.0,6.0,45.0,-1.7,10.231,-19.2,0.0,1.3
1,9,17,36.0,66.0,24.0,47.0,8.0,31.0,-2.1,10.231,-19.5,0.0,2.0
1,9,18,47.0,93.0,31.0,70.0,10.0,10.0,-2.7,10.238,-19.2,0.0,2.3
1,9,19,54.0,83.0,29.0,65.0,10.0,11.0,-2.5,10.238999999999999,-19.9,0.0,4.1
1,9,20,47.0,76.0,31.0,70.0,10.0,5.0,-2.9,10.242,-20.2,0.0,3.0
1,9,21,47.0,76.0,31.0,70.0,10.0,4.0,-3.1,10.244000000000002,-20.9,0.0,2.5
1,9,22,53.0,79.0,47.0,72.0,12.0,2.0,-3.9,10.248,-20.2,0.0,1.4
1,9,23,48.0,68.0,40.0,65.0,11.0,4.0,-6.8,10.247,-19.7,0.0,0.5
