year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2015,9,23,0,25.0,25.0,2.0,51.0,900.0,56.0,16.7,1006.0,15.4,0.0,1.0
2015,9,23,1,27.0,27.0,2.0,52.0,1000.0,44.0,16.4,1005.8,15.4,0.0,1.3
2015,9,23,2,33.0,33.0,2.0,83.0,1000.0,5.0,16.7,1005.6,15.7,0.0,1.4
2015,9,23,3,27.0,27.0,2.0,71.0,900.0,2.0,16.2,1005.8,14.6,0.0,1.4
2015,9,23,4,26.0,26.0,2.0,60.0,800.0,13.0,15.8,1006.0,14.0,0.0,1.4
2015,9,23,5,18.0,18.0,2.0,37.0,600.0,42.0,15.5,1005.9,13.5,0.0,1.1
2015,9,23,6,17.0,17.0,2.0,39.0,600.0,36.0,15.6,1006.1,13.3,0.0,1.9
2015,9,23,7,18.0,18.0,2.0,36.0,600.0,39.0,16.0,1006.2,13.7,0.0,1.3
2015,9,23,8,17.0,17.0,2.0,38.0,600.0,35.0,17.6,1006.3,13.9,0.0,2.0
2015,9,23,9,18.0,30.0,2.0,32.0,600.0,41.0,19.2,1006.8,14.0,0.0,2.1
2015,9,23,10,23.0,39.0,2.0,39.0,700.0,40.0,20.5,1007.0,14.4,0.0,1.6
2015,9,23,11,23.0,24.0,2.0,31.0,700.0,61.0,22.3,1006.3,14.7,0.0,1.2
2015,9,23,12,22.0,29.0,2.0,33.0,600.0,75.0,24.1,1005.6,14.8,0.0,1.1
2015,9,23,13,27.0,33.0,2.0,41.0,800.0,83.0,25.1,1004.9,14.5,0.0,1.0
2015,9,23,14,32.0,32.0,2.0,45.0,800.0,103.0,26.3,1004.0,14.1,0.0,2.0
2015,9,23,15,34.0,46.0,2.0,50.0,900.0,110.0,26.6,1003.8,12.6,0.0,3.0
2015,9,23,16,28.0,51.0,2.0,51.0,700.0,115.0,26.2,1003.6,13.0,0.0,1.9
2015,9,23,17,33.0,73.0,2.0,52.0,700.0,132.0,25.4,1003.7,13.6,0.0,2.1
2015,9,23,18,35.0,77.0,2.0,58.0,700.0,119.0,24.5,1003.7,14.6,0.0,2.0
2015,9,23,19,39.0,74.0,2.0,60.0,800.0,101.0,23.8,1004.0,15.3,0.0,1.6
2015,9,23,20,41.0,79.0,2.0,57.0,800.0,93.0,22.1,1004.8,15.4,0.0,0.7
2015,9,23,21,51.0,86.0,2.0,68.0,900.0,79.0,20.3,1005.2,16.3,0.0,1.5
2015,9,23,22,54.0,82.0,2.0,79.0,1000.0,63.0,20.5,1005.4,16.5,0.0,1.0
2015,9,23,23,65.0,115.0,2.0,104.0,1100.0,41.0,19.9,1005.6,16.5,0.0,1.1
