month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
1,16,0,499.0,555.0,128.0,170.0,55.0,1.0,-3.5,10.209,-8.8,0.0,0.7
1,16,1,511.0,640.0,147.0,179.0,61.0,1.0,-2.0,10.213,-12.4,0.0,1.0
1,16,2,530.0,610.0,130.0,174.0,77.0,1.0,-1.9,10.213,-11.0,0.0,2.0
1,16,3,538.0,612.0,133.0,170.0,81.0,1.0,-2.1,10.206,-9.0,0.0,1.2
1,16,4,535.0,598.0,127.0,165.0,78.0,1.0,-1.8,10.206,-7.9,0.0,1.7
1,16,5,521.0,587.0,121.0,161.0,72.0,1.0,-2.1,10.209,-7.8,0.0,1.6
1,16,6,475.0,499.0,142.0,150.0,66.0,1.0,-2.7,10.214,-8.6,0.0,1.7
1,16,7,398.0,427.0,161.0,142.0,59.0,1.0,-3.3,10.217,-9.6,0.0,1.4
1,16,8,383.0,431.0,152.0,138.0,58.0,1.0,-2.3,10.224,-10.4,0.0,1.0
1,16,9,389.0,430.0,135.0,135.0,57.0,1.0,-0.8,10.227,-10.2,0.0,1.2
1,16,10,396.0,443.0,162.0,145.0,58.0,1.0,0.7,10.222000000000001,-9.1,0.0,1.6
1,16,11,418.0,407.0,189.0,144.0,53.0,1.0,2.3,10.212,-6.8,0.0,1.4
1,16,12,422.0,445.0,185.0,141.0,48.0,3.0,4.5,10.205,-10.8,0.0,1.6
1,16,13,288.0,231.0,125.0,116.0,36.0,10.0,6.2,10.205,-13.4,0.0,0.8
1,16,14,165.0,129.0,97.0,90.0,24.0,16.0,6.9,10.205,-15.2,0.0,1.9
1,16,15,123.0,99.0,88.0,78.0,19.0,18.0,6.1,10.209,-13.5,0.0,1.6
1,16,16,123.0,99.0,116.0,97.0,24.0,16.0,3.4,10.213,-11.8,0.0,1.5
1,16,17,136.0,282.0,155.0,122.0,29.0,7.0,0.8,10.225,-9.3,0.0,0.8
1,16,18,230.0,261.0,132.0,126.0,28.0,1.0,0.0,10.23,-6.6,0.0,1.4
1,16,19,280.0,358.0,122.0,130.0,35.0,1.0,0.6,10.235,-4.1,0.0,1.3
1,16,20,350.0,401.0,123.0,126.0,41.0,1.0,0.9,10.243,-3.2,0.0,1.5
1,16,21,356.0,426.0,129.0,123.0,51.0,1.0,-0.2,10.245999999999999,-3.1,0.0,1.1
1,16,22,273.0,295.0,111.0,100.0,38.0,1.0,0.4,10.247,-2.5,0.0,0.9
1,16,23,253.0,262.0,108.0,95.0,38.0,1.0,0.5,10.249,-2.2,0.0,2.3
