month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
10,24,0,9.0,34.0,1.0,19.0,2.0,31.0,6.8,10.215,-4.9,0.0,1.0
10,24,1,9.0,40.0,2.0,25.0,2.0,25.0,7.3,10.212,-6.5,0.0,3.7
10,24,2,9.0,40.0,3.0,25.0,2.0,24.0,5.2,10.215,-4.1,0.0,1.1
10,24,3,11.0,52.0,3.0,23.0,2.0,25.0,4.5,10.214,-4.8,0.0,1.0
10,24,4,11.0,38.0,1.0,27.0,2.0,21.0,3.1,10.216000000000001,-3.5,0.0,1.3
10,24,5,10.0,38.0,2.0,26.0,2.0,22.0,2.7,10.218,-3.0,0.0,0.0
10,24,6,9.0,40.0,3.0,29.0,2.0,24.0,2.4,10.222000000000001,-2.5,0.0,0.9
10,24,7,12.0,34.0,4.0,29.0,3.0,1.0,7.9,10.227,-3.6,0.0,2.3
10,24,8,15.0,39.0,4.0,52.0,4.0,6.0,11.3,10.224,-2.9,0.0,1.1
10,24,9,11.0,30.0,6.0,36.0,4.0,28.0,12.5,10.222999999999999,-3.4,0.0,2.5
10,24,10,14.0,23.0,4.0,21.0,3.0,50.0,13.7,10.221,-2.7,0.0,2.0
10,24,11,14.0,22.0,5.0,15.0,3.0,64.0,14.6,10.211,-2.8,0.0,2.1
10,24,12,11.0,22.0,4.0,15.0,4.0,75.0,15.9,10.204,-2.1,0.0,4.1
10,24,13,11.0,39.0,5.0,13.0,4.0,84.0,16.2,10.2,-1.4,0.0,1.9
10,24,14,18.0,40.0,6.0,16.0,4.0,83.0,16.7,10.197000000000001,-1.4,0.0,2.6
10,24,15,19.0,40.0,7.0,17.0,4.0,83.0,15.8,10.196,-1.8,0.0,4.0
10,24,16,22.0,50.0,8.0,20.0,4.0,79.0,14.4,10.199,-1.7,0.0,3.7
10,24,17,23.0,50.0,7.0,20.0,5.0,70.0,13.3,10.203,-1.1,0.0,2.0
10,24,18,28.0,59.0,6.0,34.0,6.0,60.0,12.6,10.21,-0.7,0.0,3.3
10,24,19,32.0,52.0,5.0,43.0,6.0,49.0,12.4,10.213,-0.8,0.0,2.4
10,24,20,32.0,52.0,2.0,28.0,5.0,63.0,11.0,10.221,-0.2,0.0,1.2
10,24,21,38.0,50.0,1.0,30.0,6.0,63.0,9.5,10.222000000000001,0.6,0.0,0.8
10,24,22,40.0,45.0,1.0,32.0,4.0,58.0,9.3,10.225,0.2,0.0,1.9
10,24,23,39.0,45.0,1.0,29.0,4.0,61.0,9.0,10.227,0.7,0.0,0.8
