month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
10,15,0,20.0,29.0,4.284,64.0,4.0,1.0,6.1,10.280999999999999,-1.3,0.0,1.1
10,15,1,12.0,29.0,1.7136,60.0,3.0,1.0,4.7,10.280999999999999,-1.1,0.0,0.8
10,15,2,6.0,6.0,0.8568,42.0,2.0,14.0,4.0,10.275,-2.4,0.0,0.8
10,15,3,8.0,11.0,1.1424,47.0,2.0,8.0,3.7,10.275,-2.5,0.0,0.7
10,15,4,4.0,8.0,1.9992,59.0,2.0,1.0,3.2,10.277999999999999,-2.3,0.0,0.0
10,15,5,7.0,9.0,1.9992,52.0,2.0,4.0,2.2,10.277999999999999,-1.2,0.0,0.8
10,15,6,3.0,6.0,1.1424,42.0,2.0,10.0,1.7,10.277000000000001,-1.6,0.0,0.0
10,15,7,4.0,10.0,6.8544,51.0,3.0,5.0,7.8,10.282,-3.1,0.0,1.5
10,15,8,12.0,20.0,13.1376,54.0,5.0,3.0,11.4,10.282,-4.3,0.0,1.7
10,15,9,7.0,23.0,10.2816,41.0,5.0,17.0,12.9,10.276,-5.7,0.0,1.1
10,15,10,10.0,14.0,12.0,28.0,5.0,31.0,14.5,10.265,-4.8,0.0,1.7
10,15,11,3.0,6.0,11.0,23.0,4.0,37.0,15.2,10.251,-5.3,0.0,1.4
10,15,12,6.0,6.0,8.0,20.0,3.0,44.0,16.5,10.24,-2.6,0.0,1.9
10,15,13,5.0,5.0,6.0,20.0,3.0,46.0,16.5,10.23,-3.1,0.0,0.9
10,15,14,4.0,13.0,4.0,20.0,3.0,49.0,17.0,10.221,-2.7,0.0,1.8
10,15,15,14.0,19.0,4.0,28.0,3.0,43.0,15.9,10.216000000000001,-2.1,0.0,2.7
10,15,16,9.0,20.0,3.0,40.0,4.0,38.0,14.4,10.216000000000001,-1.7,0.0,2.8
10,15,17,21.0,52.0,4.0,52.0,4.0,52.0,12.7,10.214,-0.9,0.0,2.1
10,15,18,23.0,48.0,3.0,61.0,4.0,27.0,11.7,10.214,0.1,0.0,1.4
10,15,19,25.0,41.0,4.0,69.0,5.0,11.0,11.0,10.215,-0.5,0.0,2.0
10,15,20,33.0,47.0,4.0,79.0,6.0,4.0,9.5,10.217,1.1,0.0,1.3
10,15,21,43.0,67.0,6.0,87.0,6.0,1.0,6.4,10.221,1.9,0.0,0.0
10,15,22,45.0,69.0,9.0,85.0,6.0,1.0,5.0,10.217,1.8,0.0,0.7
10,15,23,49.0,66.0,7.0,86.0,8.0,1.0,4.6,10.217,2.8,0.0,0.5
