month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
1,2,0,94.0,166.0,72.0,106.0,33.0,1.0,0.0,10.129,-8.7,0.0,1.3
1,2,1,139.0,207.0,88.0,97.0,37.0,1.0,0.5,10.134,-9.5,0.0,0.7
1,2,2,165.0,202.0,87.0,92.0,31.0,1.0,-1.2,10.137,-9.3,0.0,1.0
1,2,3,119.0,184.0,83.0,82.0,28.0,1.0,-0.7,10.136000000000001,-9.4,0.0,0.6
1,2,4,135.0,164.0,72.0,79.0,23.0,1.0,-0.8,10.137,-9.4,0.0,1.9
1,2,5,74.0,113.0,59.0,67.0,17.0,1.0,-0.4,10.14,-9.8,0.0,1.3
1,2,6,86.0,154.0,66.0,67.0,25.0,1.0,-1.1,10.144,-9.5,0.0,2.0
1,2,7,166.0,247.0,72.0,73.0,46.0,1.0,-1.3,10.151,-8.3,0.0,1.5
1,2,8,118.0,137.0,42.0,64.0,38.0,1.0,-0.6,10.154,-6.4,0.0,0.5
1,2,9,117.0,190.0,81.0,67.0,39.0,1.0,1.9,10.152999999999999,-4.8,0.0,2.2
1,2,10,119.0,219.0,105.0,75.0,41.0,1.0,2.9,10.144,-4.8,0.0,0.9
1,2,11,130.0,165.0,112.0,74.0,35.0,1.0,4.2,10.129,-5.1,0.0,1.4
1,2,12,100.0,162.0,104.0,81.0,35.0,1.0,6.1,10.115,-5.0,0.0,0.8
1,2,13,110.0,164.0,104.0,85.0,32.0,2.0,7.4,10.103,-5.3,0.0,0.5
1,2,14,141.0,149.0,100.0,86.0,29.0,4.0,7.9,10.097000000000001,-5.2,0.0,1.3
1,2,15,402.0,151.0,97.0,92.0,29.0,3.0,7.0,10.099,-5.4,0.0,0.0
1,2,16,259.0,136.0,82.0,98.0,27.0,1.0,3.7,10.099,-5.5,0.0,1.6
1,2,17,170.0,201.0,79.0,107.0,29.0,1.0,2.0,10.105,-5.2,0.0,0.5
1,2,18,131.0,217.0,88.0,120.0,34.0,1.0,0.6,10.104,-5.4,0.0,0.0
1,2,19,146.0,227.0,84.0,121.0,38.0,1.0,1.4,10.107999999999999,-4.9,0.0,1.1
1,2,20,160.0,239.0,86.0,127.0,41.0,1.0,3.5,10.115,-4.9,0.0,1.3
1,2,21,182.0,253.0,123.0,128.0,42.0,1.0,2.8,10.118,-5.1,0.0,0.0
1,2,22,180.0,266.0,147.0,127.0,46.0,1.0,0.5,10.121,-4.7,0.0,1.3
1,2,23,198.0,299.0,141.0,134.0,50.0,1.0,3.1,10.122,-5.1,0.0,0.2
