year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2016,7,19,0,63.0,63.0,4.0,63.0,900.0,60.0,24.4,1003.3,20.7,0.0,1.2
2016,7,19,1,72.0,72.0,4.0,59.0,900.0,47.0,23.8,1003.3,22.1,0.0,0.9
2016,7,19,2,71.0,71.0,3.0,57.0,700.0,37.0,24.0,1003.0,20.9,0.0,1.4
2016,7,19,3,86.0,101.0,2.0,46.0,700.0,46.0,24.1,1002.9,21.2,0.0,1.3
2016,7,19,4,114.0,114.0,2.0,40.0,800.0,51.0,23.9,1002.8,21.6,0.0,1.0
2016,7,19,5,115.0,115.0,2.0,47.0,800.0,33.0,23.9,1002.5,22.0,0.0,0.8
2016,7,19,6,153.0,153.0,2.0,33.0,1100.0,55.0,24.1,1002.8,22.4,0.0,0.5
2016,7,19,7,164.0,164.0,2.0,43.0,1400.0,32.0,24.1,1003.2,22.4,0.2,1.5
2016,7,19,8,160.0,160.0,2.0,56.0,1800.0,14.0,24.0,1003.5,22.6,1.9,1.3
2016,7,19,9,156.0,156.0,2.0,61.0,1900.0,7.0,23.8,1003.6,22.4,4.1,1.1
2016,7,19,10,145.0,145.0,2.0,54.0,1800.0,20.0,24.1,1003.6,22.5,0.5,1.9
2016,7,19,11,103.0,103.0,2.0,49.0,1100.0,26.0,23.5,1003.5,21.9,0.2,1.9
2016,7,19,12,95.0,95.0,2.0,41.0,1000.0,41.0,23.5,1003.3,21.8,0.3,1.6
2016,7,19,13,78.0,78.0,2.0,38.0,1000.0,62.0,23.7,1003.1,22.1,0.8,1.7
2016,7,19,14,57.0,57.0,2.0,37.0,900.0,63.0,23.9,1003.2,22.9,2.7,1.2
2016,7,19,15,60.0,60.0,2.0,44.0,1000.0,49.0,24.2,1003.1,23.2,1.8,1.7
2016,7,19,16,67.0,67.0,2.0,38.0,1000.0,57.0,24.3,1002.9,23.3,0.6,1.4
2016,7,19,17,60.0,60.0,2.0,41.0,1000.0,59.0,24.3,1002.8,23.3,0.3,1.8
2016,7,19,18,63.0,63.0,2.0,43.0,1100.0,53.0,24.5,1002.6,23.3,0.0,1.0
2016,7,19,19,78.0,78.0,2.0,53.0,1200.0,34.0,24.3,1003.0,22.9,0.0,1.4
2016,7,19,20,96.0,96.0,2.0,43.0,1100.0,52.0,24.1,1003.3,22.7,0.0,0.7
2016,7,19,21,98.0,98.0,2.0,48.0,1200.0,33.0,23.8,1003.8,22.6,0.3,1.0
2016,7,19,22,90.0,90.0,2.0,48.0,1000.0,28.0,23.5,1003.9,21.9,0.0,1.8
2016,7,19,23,102.0,102.0,2.0,46.0,1300.0,40.0,23.4,1003.5,20.3,0.0,2.3
