year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2013,6,6,0,169.0,194.0,3.0,46.0,1899.0,19.0,18.9,1006.8,17.4,0.0,1.0
2013,6,6,1,159.0,163.0,3.0,36.0,1600.0,28.0,18.8,1005.7,17.5,0.0,1.1
2013,6,6,2,133.0,150.0,3.0,35.0,1399.0,28.0,18.7,1005.1,17.5,0.0,0.9
2013,6,6,3,132.0,156.0,3.0,34.0,1399.0,29.0,18.7,1004.9,17.5,0.0,0.8
2013,6,6,4,158.0,163.0,3.0,34.0,1600.0,28.0,18.4,1005.3,17.6,0.0,0.6
2013,6,6,5,160.0,162.0,3.0,37.0,1700.0,26.0,18.3,1005.6,17.5,0.0,0.6
2013,6,6,6,152.0,167.0,3.0,39.0,1600.0,18.0,18.4,1006.2,17.7,0.1,0.4
2013,6,6,7,122.0,126.0,4.0,42.0,1700.0,12.0,18.6,1006.2,17.9,0.0,0.5
2013,6,6,8,105.0,127.0,4.0,49.0,1899.0,6.0,18.7,1005.7,17.9,0.0,0.4
2013,6,6,9,81.0,43.0,3.0,52.0,2200.0,5.0,18.8,1005.7,18.1,0.0,0.7
2013,6,6,10,90.0,35.0,3.0,53.0,2500.0,5.0,18.9,1005.5,18.4,0.1,1.5
2013,6,6,11,74.0,87.0,3.0,59.0,2600.0,6.0,19.0,1005.3,18.5,0.0,1.3
2013,6,6,12,91.0,96.0,4.0,68.0,2700.0,7.0,19.2,1004.7,18.4,0.0,1.3
2013,6,6,13,107.0,130.0,4.0,70.0,2899.0,7.0,19.5,1004.5,18.5,0.0,0.8
2013,6,6,14,115.0,116.0,5.0,69.0,3000.0,6.0,20.0,1004.1,18.7,0.0,1.1
2013,6,6,15,110.0,122.0,4.0,70.0,2799.0,6.0,19.9,1003.4,18.6,0.0,0.6
2013,6,6,16,129.0,130.0,3.0,76.0,2799.0,6.0,20.1,1003.1,18.8,0.0,1.0
2013,6,6,17,117.0,136.0,5.0,77.0,2899.0,6.0,19.8,1003.4,18.8,0.0,0.9
2013,6,6,18,162.0,180.0,5.0,84.0,3000.0,5.0,19.7,1003.9,19.0,0.0,1.3
2013,6,6,19,140.0,174.0,5.0,73.0,2600.0,3.0,19.6,1004.2,18.9,0.0,0.9
2013,6,6,20,134.0,162.0,5.0,77.0,2500.0,3.0,19.7,1004.3,18.9,0.1,1.0
2013,6,6,21,132.0,143.0,5.0,76.0,2399.0,3.0,19.8,1003.8,18.6,0.0,1.0
2013,6,6,22,136.0,162.0,4.0,75.0,2399.0,3.0,20.0,1003.8,18.7,0.0,1.1
2013,6,6,23,135.0,163.0,3.0,74.0,2399.0,4.0,20.2,1003.2,18.5,0.0,0.8
