year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2014,3,29,0,204.0,250.0,23.0,121.0,3000.0,2.0,15.4,1006.0,3.5,0.0,3.1
2014,3,29,1,121.0,49.0,26.0,96.0,1700.0,2.0,15.3,1005.7,2.4,0.0,2.2
2014,3,29,2,54.0,5.0,19.0,70.0,700.0,7.0,13.2,1005.9,3.5,0.0,1.5
2014,3,29,3,5.0,9.0,12.0,31.0,300.0,37.0,12.5,1005.9,2.9,0.0,1.4
2014,3,29,4,22.0,31.0,8.0,27.0,200.0,39.0,12.0,1006.3,3.0,0.0,1.5
2014,3,29,5,22.0,44.0,9.0,38.0,200.0,27.0,12.0,1007.4,3.2,0.0,1.6
2014,3,29,6,24.0,44.0,10.0,31.0,300.0,30.0,12.8,1008.4,3.4,0.0,1.6
2014,3,29,7,26.0,59.0,10.0,33.0,300.0,29.0,15.3,1009.1,3.1,0.0,3.9
2014,3,29,8,26.0,59.0,9.0,28.0,300.0,38.0,17.0,1009.4,2.9,0.0,3.4
2014,3,29,9,28.0,67.0,8.0,16.0,200.0,55.0,18.1,1009.7,3.2,0.0,2.5
2014,3,29,10,25.0,59.0,6.0,9.0,300.0,72.0,19.2,1009.2,4.1,0.0,1.4
2014,3,29,11,25.0,47.0,5.0,8.0,300.0,81.0,19.8,1008.4,2.6,0.0,1.5
2014,3,29,12,23.0,38.0,6.0,6.0,200.0,92.0,20.9,1007.3,2.2,0.0,3.6
2014,3,29,13,25.0,44.0,5.0,6.0,300.0,98.0,22.2,1006.7,2.3,0.0,3.0
2014,3,29,14,25.0,34.0,5.0,5.0,200.0,105.0,22.6,1005.7,2.1,0.0,4.1
2014,3,29,15,24.0,32.0,5.0,6.0,300.0,106.0,23.0,1005.0,1.3,0.0,3.4
2014,3,29,16,25.0,42.0,7.0,9.0,300.0,106.0,22.8,1004.9,1.2,0.0,3.3
2014,3,29,17,27.0,39.0,9.0,9.0,300.0,108.0,21.9,1005.4,1.0,0.0,1.0
2014,3,29,18,28.0,34.0,10.0,13.0,300.0,106.0,19.8,1006.3,2.6,0.0,2.4
2014,3,29,19,29.0,54.0,12.0,31.0,400.0,84.0,19.1,1007.1,3.3,0.0,2.3
2014,3,29,20,39.0,120.0,7.0,51.0,400.0,69.0,17.7,1007.8,5.0,0.0,1.4
2014,3,29,21,45.0,125.0,7.0,67.0,600.0,50.0,14.6,1008.4,7.2,0.0,1.5
2014,3,29,22,53.0,152.0,9.0,82.0,600.0,33.0,12.5,1008.3,5.9,0.0,0.9
2014,3,29,23,55.0,170.0,12.0,93.0,500.0,25.0,11.3,1008.7,5.8,0.0,0.5
