year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2015,1,9,0,192.0,232.0,109.0,138.0,4900.0,2.0,-4.0,1020.0,-10.8,0.0,0.6
2015,1,9,1,170.0,204.0,94.0,124.0,4200.0,2.0,-4.0,1021.0,-11.3,0.0,1.6
2015,1,9,2,158.0,197.0,75.0,124.0,4100.0,2.0,-2.0,1024.0,-10.3,0.0,1.1
2015,1,9,3,160.0,194.0,83.0,127.0,4000.0,2.0,-2.0,1023.0,-11.1,0.0,1.3
2015,1,9,4,162.0,189.0,82.0,126.0,4300.0,2.0,1.0,1024.0,-14.7,0.0,1.8
2015,1,9,5,68.0,68.0,45.0,85.0,2100.0,2.0,-1.0,1024.0,-14.2,0.0,0.7
2015,1,9,6,35.0,35.0,26.0,68.0,1400.0,2.0,-1.0,1022.0,-15.6,0.0,0.9
2015,1,9,7,17.0,17.0,18.0,45.0,800.0,2.0,1.0,1024.0,-17.9,0.0,2.0
2015,1,9,8,10.0,23.0,22.0,35.0,700.0,12.0,0.0,1025.0,-17.7,0.0,1.3
2015,1,9,9,11.0,31.0,24.0,25.0,700.0,23.0,2.0,1023.0,-18.1,0.0,3.5
2015,1,9,10,18.0,35.0,26.0,23.0,700.0,31.0,3.0,1026.0,-19.1,0.0,1.9
2015,1,9,11,17.0,30.0,25.0,17.0,700.0,45.0,5.0,1022.0,-18.8,0.0,2.8
2015,1,9,12,6.0,20.0,16.0,10.0,600.0,56.0,5.0,1026.0,-18.8,0.0,2.5
2015,1,9,13,8.0,12.0,12.0,8.0,600.0,60.0,6.0,1025.0,-18.0,0.0,2.5
2015,1,9,14,12.0,12.0,11.0,6.0,600.0,63.0,7.0,1022.0,-18.8,0.0,3.0
2015,1,9,15,9.0,10.0,10.0,8.0,600.0,64.0,8.0,1019.0,-18.0,0.0,1.8
2015,1,9,16,6.0,16.0,11.0,10.0,500.0,62.0,8.0,1019.0,-17.1,0.0,2.1
2015,1,9,17,11.0,18.0,11.0,23.0,600.0,52.0,6.0,1020.0,-17.3,0.0,1.8
2015,1,9,18,11.0,12.0,8.0,36.0,700.0,40.0,1.0,1020.0,-16.4,0.0,0.9
2015,1,9,19,18.0,43.0,12.0,78.0,1000.0,5.0,1.0,1020.0,-12.4,0.0,1.4
2015,1,9,20,82.0,127.0,36.0,106.0,1700.0,2.0,0.0,1021.0,-14.8,0.0,1.2
2015,1,9,21,127.0,182.0,57.0,121.0,2300.0,2.0,1.0,1020.0,-12.8,0.0,1.4
2015,1,9,22,253.0,320.0,125.0,153.0,3600.0,3.0,3.0,1018.0,-12.5,0.0,2.5
2015,1,9,23,262.0,317.0,120.0,148.0,3700.0,2.0,1.0,1018.0,-12.4,0.0,1.4
