month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
9,8,0,89.0,126.0,6.0,124.0,15.0,1.0,19.4,10.119,16.2,0.0,1.2
9,8,1,90.0,149.0,11.0,129.0,14.0,1.0,19.2,10.115,16.2,0.0,1.0
9,8,2,100.0,203.0,15.0,95.0,12.0,1.0,18.9,10.115,16.5,0.0,1.1
9,8,3,90.0,156.0,13.0,79.0,9.0,1.0,18.9,10.113999999999999,16.1,0.0,0.9
9,8,4,47.0,48.0,10.0,79.0,4.0,1.0,18.6,10.119,15.7,0.0,0.5
9,8,5,29.0,40.0,7.0,51.0,4.0,8.0,18.5,10.12,15.4,0.0,0.8
9,8,6,28.0,37.0,7.0,52.0,6.0,12.0,19.1,10.125,16.3,0.0,0.9
9,8,7,28.0,45.0,5.0,46.0,7.0,14.0,19.9,10.129,15.7,0.0,1.7
9,8,8,35.0,72.0,5.0,53.0,5.0,6.0,20.6,10.127,15.8,0.0,1.4
9,8,9,39.0,75.0,6.0,52.0,7.0,14.0,21.8,10.13,16.7,0.0,1.2
9,8,10,55.0,109.0,12.0,54.0,13.0,22.0,22.6,10.128,17.3,0.0,1.3
9,8,11,86.0,141.0,23.0,62.0,18.0,37.0,23.7,10.12,17.4,0.0,1.4
9,8,12,86.0,148.0,25.0,68.0,17.0,38.0,24.1,10.111,17.3,0.0,1.1
9,8,13,105.0,159.0,34.0,63.0,16.0,60.0,24.7,10.106,17.9,0.0,0.5
9,8,14,121.0,151.0,61.0,51.0,16.0,87.0,24.7,10.097000000000001,18.4,0.0,0.9
9,8,15,116.0,138.0,53.0,55.0,16.0,97.0,24.7,10.091000000000001,18.6,0.0,1.3
9,8,16,117.0,134.0,50.0,56.0,17.0,105.0,24.3,10.089,18.9,0.0,1.2
9,8,17,128.0,163.0,43.0,59.0,17.0,101.0,22.1,10.089,19.6,8.6,1.9
9,8,18,148.0,204.0,36.0,63.0,24.0,84.0,21.1,10.089,20.3,0.0,0.1
9,8,19,165.0,194.0,19.0,59.0,30.0,71.0,20.9,10.097000000000001,20.2,0.6,1.0
9,8,20,112.0,194.0,18.0,65.0,19.0,65.0,20.5,10.097999999999999,20.0,0.1,0.7
9,8,21,98.0,85.0,12.0,42.0,19.0,73.0,19.4,10.102,17.9,0.0,1.6
9,8,22,103.0,25.0,13.0,76.0,16.0,38.0,18.5,10.094,17.5,0.0,1.0
9,8,23,38.0,38.0,7.0,34.0,5.0,87.0,18.5,10.092,17.7,0.0,0.4
