year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2014,2,21,0,295.0,310.0,38.0,96.0,2600.0,1.0,-0.4,1023.5,-2.9,0.0,1.2
2014,2,21,1,291.0,311.0,36.0,94.0,2600.0,1.0,-0.4,1023.3,-3.1,0.0,1.4
2014,2,21,2,294.0,318.0,35.0,96.0,3000.0,1.0,-0.4,1022.8,-3.1,0.0,1.4
2014,2,21,3,294.0,318.0,35.0,96.0,3000.0,1.0,-0.5,1022.5,-3.4,0.0,1.7
2014,2,21,4,304.0,304.0,53.0,96.0,2700.0,1.0,-0.5,1022.5,-3.2,0.0,2.1
2014,2,21,5,281.0,281.0,60.0,95.0,2600.0,1.0,-0.6,1022.6,-3.1,0.0,1.0
2014,2,21,6,259.0,259.0,61.0,88.0,2400.0,1.0,-0.6,1022.7,-3.1,0.0,1.4
2014,2,21,7,239.0,239.0,72.0,91.0,2300.0,1.0,-0.3,1023.0,-3.0,0.0,1.1
2014,2,21,8,216.0,216.0,73.0,88.0,2300.0,1.0,0.4,1023.3,-3.0,0.0,1.5
2014,2,21,9,210.0,210.0,89.0,90.0,2200.0,2.0,1.1,1023.0,-3.0,0.0,0.6
2014,2,21,10,224.0,224.0,124.0,95.0,2500.0,2.0,1.6,1023.0,-2.9,0.0,1.6
2014,2,21,11,213.0,213.0,117.0,83.0,2200.0,8.0,2.4,1022.7,-2.9,0.0,0.7
2014,2,21,12,196.0,227.0,114.0,89.0,2400.0,10.0,3.0,1021.5,-3.2,0.0,1.9
2014,2,21,13,221.0,253.0,102.0,86.0,2400.0,17.0,3.7,1020.6,-2.9,0.0,1.4
2014,2,21,14,238.0,270.0,91.0,84.0,2300.0,23.0,4.0,1020.2,-2.9,0.0,1.9
2014,2,21,15,243.0,275.0,89.0,93.0,2300.0,21.0,4.0,1020.2,-2.9,0.0,1.9
2014,2,21,16,251.0,284.0,86.0,100.0,2400.0,18.0,3.3,1020.2,-3.1,0.0,1.8
2014,2,21,17,246.0,273.0,83.0,113.0,2400.0,10.0,2.8,1020.8,-3.1,0.0,1.3
2014,2,21,18,236.0,275.0,79.0,107.0,2300.0,9.0,2.3,1021.5,-3.2,0.0,0.8
2014,2,21,19,232.0,278.0,80.0,114.0,2500.0,2.0,-0.3,1022.0,-3.7,0.0,0.8
2014,2,21,20,241.0,292.0,87.0,125.0,2800.0,1.0,-0.8,1022.5,-3.5,0.0,0.4
2014,2,21,21,247.0,293.0,93.0,125.0,2900.0,1.0,-1.1,1022.6,-3.5,0.0,0.6
2014,2,21,22,245.0,285.0,76.0,120.0,3000.0,1.0,-0.2,1022.9,-3.4,0.0,0.2
2014,2,21,23,246.0,294.0,61.0,119.0,3400.0,1.0,-1.1,1023.0,-3.6,0.0,0.9
