month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
12,1,0,37.0,84.0,33.0,67.0,10.0,1.0,-3.7,10.197000000000001,-8.8,0.0,0.0
12,1,1,37.0,62.0,27.0,62.0,10.0,1.0,-3.8,10.198,-8.5,0.0,0.5
12,1,2,42.0,78.0,31.0,62.0,11.0,1.0,-4.3,10.193,-8.2,0.0,0.7
12,1,3,44.0,73.0,20.0,66.0,9.0,1.0,-4.7,10.19,-8.0,0.0,0.2
12,1,4,46.0,103.0,18.0,66.0,11.0,1.0,-4.9,10.187999999999999,-8.5,0.0,0.2
12,1,5,53.0,110.0,38.0,81.0,17.0,1.0,-5.2,10.19,-8.4,0.0,0.0
12,1,6,63.0,111.0,38.0,84.0,21.0,1.0,-5.6,10.192,-8.3,0.0,0.5
12,1,7,62.0,86.0,34.0,76.0,19.0,1.0,-4.8,10.193999999999999,-7.9,0.0,0.6
12,1,8,56.0,77.0,33.0,69.0,16.0,1.0,-0.7,10.196,-5.9,0.0,1.0
12,1,9,60.0,81.0,44.0,68.0,16.0,1.0,5.9,10.193,-9.6,0.0,1.6
12,1,10,57.0,70.0,68.0,60.0,19.0,6.0,8.1,10.189,-9.8,0.0,1.5
12,1,11,60.0,76.0,53.0,63.0,16.0,7.0,9.2,10.175,-10.4,0.0,1.5
12,1,12,69.0,85.0,50.0,66.0,16.0,12.0,10.9,10.165,-10.6,0.0,0.9
12,1,13,46.0,45.0,35.0,46.0,11.0,28.0,11.6,10.156,-10.0,0.0,1.4
12,1,14,43.0,40.0,36.0,48.0,10.0,27.0,11.7,10.15,-9.4,0.0,1.2
12,1,15,52.0,63.0,37.0,69.0,15.0,11.0,9.7,10.151,-8.9,0.0,1.9
12,1,16,67.0,96.0,33.0,83.0,15.0,5.0,6.3,10.149,-8.4,0.0,1.3
12,1,17,69.0,94.0,24.0,86.0,14.0,2.0,5.8,10.149,-8.1,0.0,1.9
12,1,18,58.0,95.0,20.0,81.0,12.0,1.0,5.9,10.146,-7.4,0.0,1.9
12,1,19,85.0,118.0,33.0,85.0,14.0,1.0,2.3,10.149,-6.3,0.0,1.4
12,1,20,106.0,154.0,39.0,95.0,17.0,1.0,-0.3,10.147,-7.1,0.0,0.7
12,1,21,134.0,177.0,45.0,100.0,19.0,1.0,-1.2,10.148,-6.9,0.0,0.5
12,1,22,127.0,184.0,44.0,97.0,20.0,1.0,-1.8,10.147,-6.6,0.0,0.5
12,1,23,123.0,145.0,40.0,95.0,22.0,1.0,-2.7,10.148,-6.2,0.0,1.0
