month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
9,18,0,93.0,98.0,19.0,74.0,26.0,1.0,19.6,10.132,19.4,0.0,0.9
9,18,1,93.0,108.0,16.0,68.0,26.0,1.0,19.6,10.133,19.3,0.0,0.8
9,18,2,101.0,118.0,16.0,58.0,26.0,1.0,19.7,10.138,19.4,0.1,0.5
9,18,3,101.0,112.0,13.0,56.0,25.0,1.0,19.8,10.139,19.5,1.0,0.5
9,18,4,113.0,112.0,14.0,52.0,24.0,1.0,19.7,10.142999999999999,19.5,1.8,0.0
9,18,5,113.0,77.0,14.0,52.0,24.0,1.0,19.7,10.145,19.5,1.8,0.8
9,18,6,113.0,65.0,14.0,52.0,24.0,1.0,19.8,10.148,19.6,0.7,1.1
9,18,7,113.0,61.0,14.0,52.0,24.0,1.0,20.1,10.152999999999999,19.9,0.4,0.5
9,18,8,113.0,84.0,14.0,52.0,24.0,1.0,20.2,10.156,20.0,0.0,0.7
9,18,9,113.0,84.0,14.0,52.0,24.0,1.0,20.7,10.157,20.5,0.0,0.7
9,18,10,83.0,94.0,14.0,60.0,29.0,1.0,20.7,10.152000000000001,20.4,0.0,0.4
9,18,11,136.0,94.0,22.0,70.0,35.0,1.0,21.1,10.149,20.9,0.0,1.1
9,18,12,123.0,136.0,26.0,74.0,36.0,1.0,21.8,10.142999999999999,20.8,0.0,1.2
9,18,13,131.0,142.0,26.0,72.0,35.0,3.0,22.9,10.136000000000001,20.6,0.0,0.5
9,18,14,139.0,142.0,26.0,68.0,28.0,18.0,23.8,10.127,20.5,0.0,1.3
9,18,15,109.0,92.0,21.0,46.0,17.0,48.0,24.0,10.12,20.1,0.0,0.8
9,18,16,85.0,86.0,19.0,43.0,14.0,65.0,23.6,10.116,20.5,0.0,0.7
9,18,17,98.0,100.0,19.0,54.0,13.0,60.0,23.3,10.113999999999999,20.2,0.0,0.8
9,18,18,76.0,92.0,19.0,62.0,12.0,61.0,22.3,10.112,20.4,0.0,0.5
9,18,19,76.0,92.0,19.0,62.0,12.0,61.0,22.1,10.115,19.8,0.0,1.3
9,18,20,105.0,117.0,20.0,86.0,16.0,32.0,21.5,10.117,19.6,0.0,0.5
9,18,21,109.0,119.0,19.0,79.0,16.0,31.0,21.9,10.116,19.3,0.0,1.6
9,18,22,106.0,115.0,16.0,80.0,15.0,19.0,21.3,10.111,19.0,0.0,0.7
9,18,23,86.0,102.0,12.0,63.0,14.0,23.0,21.0,10.105,19.1,0.0,1.2
