year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2016,6,1,0,18.0,18.0,4.0,26.0,400.0,69.0,21.8,1008.7,3.9,0.0,1.6
2016,6,1,1,18.0,18.0,6.0,28.0,500.0,65.0,21.0,1008.2,3.2,0.0,1.3
2016,6,1,2,16.0,24.0,7.0,31.0,700.0,52.0,19.3,1008.7,4.6,0.0,0.3
2016,6,1,3,16.0,23.0,7.0,32.0,700.0,47.0,18.9,1008.4,6.4,0.0,1.1
2016,6,1,4,15.0,28.0,6.0,35.0,600.0,38.0,19.2,1008.4,4.9,0.0,0.8
2016,6,1,5,18.0,38.0,8.0,66.0,900.0,2.0,18.7,1008.6,6.5,0.0,0.8
2016,6,1,6,25.0,80.0,7.0,63.0,800.0,2.0,19.2,1008.8,7.6,0.0,0.8
2016,6,1,7,32.0,81.0,6.0,58.0,700.0,6.0,20.9,1009.3,7.5,0.0,1.2
2016,6,1,8,36.0,76.0,7.0,52.0,800.0,18.0,22.2,1009.8,7.2,0.0,1.7
2016,6,1,9,34.0,77.0,6.0,46.0,700.0,35.0,23.2,1009.9,8.1,0.0,1.5
2016,6,1,10,35.0,79.0,6.0,44.0,700.0,45.0,24.1,1009.9,9.3,0.0,1.2
2016,6,1,11,31.0,73.0,8.0,29.0,700.0,77.0,25.3,1009.6,9.6,0.0,1.7
2016,6,1,12,32.0,42.0,8.0,27.0,700.0,99.0,27.0,1008.9,7.9,0.0,1.6
2016,6,1,13,22.0,28.0,7.0,22.0,500.0,126.0,28.5,1007.9,5.3,0.0,1.7
2016,6,1,14,31.0,37.0,5.0,20.0,400.0,149.0,29.5,1007.4,6.2,0.0,1.2
2016,6,1,15,40.0,49.0,6.0,25.0,500.0,165.0,29.6,1006.8,5.6,0.0,1.6
2016,6,1,16,37.0,40.0,5.0,24.0,400.0,177.0,29.6,1006.2,5.6,0.0,1.6
2016,6,1,17,39.0,47.0,5.0,24.0,500.0,196.0,29.0,1005.8,6.4,0.0,2.1
2016,6,1,18,35.0,54.0,5.0,24.0,500.0,198.0,28.7,1005.9,6.7,0.0,2.3
2016,6,1,19,31.0,57.0,5.0,23.0,500.0,193.0,28.0,1006.4,6.1,0.0,2.6
2016,6,1,20,31.0,71.0,6.0,26.0,600.0,183.0,26.9,1006.9,6.8,0.0,2.0
2016,6,1,21,34.0,84.0,5.0,34.0,600.0,147.0,26.1,1007.4,7.6,0.0,1.6
2016,6,1,22,34.0,86.0,5.0,37.0,700.0,135.0,25.4,1007.7,7.0,0.0,2.0
2016,6,1,23,41.0,76.0,6.0,50.0,700.0,91.0,24.9,1007.7,5.6,0.0,1.6
